,SAN,BTO_1,BKIA_0,BKIA,NTGY,TRE,ACX_0,ACX,FER,ACS,ELE_0,ELE,SAB,CRI,OHL,IBR,EBRO_0,EBRO_1,AMS,AENA,ITX,MTS,IAG,VIS_0,VIS,IBLA,BBVA,MAP,BME,CIE,MAS,IBE,ABG,ENG,SCYR_1,REP,ABE,ABG.P_0,ABG.P_1,ANA_0,ANA,EVA,GRF,CLNX,MRL,BKT,POP,ENC,IDR,SGRE_0,SGRE,MEL,TL5,REE,COL,JAZ,TEF,FCC,CABK,DIA,ALM,REE_0,CIN,LOR,UNF,ZEL,NHH_0,NHH_1,MAP_0,ALT,BTO_0,FAD,DRC,PRS_1,SCYR_0,TEM,CAR,AGS,COL_0,A3TV,SGC,PHM,SLR,FDR,ROVI
2012-07-13,2.6476397350000003,,24.196675034,,5.8795375805,26.135411911,6.1218033856,,5.6550962162000005,8.7761018221,4.3339452425000005,,0.9447498475,,7.9428248986,,,,13.845174803,,12.863791588,26.691751652,1.0534108871,,,,3.0836669564,0.8580255837,9.5937385744,,,1.9887967830000002,1.7787000000000002,7.8077790339,0.9464318634000001,5.9226646279,6.5141323303,,,31.163145004,,,9.4086222508,,,1.2086917551,3.5849,,5.8619,1.0747274391,,,2.9013980564,5.3673924757,,,5.4326715864,6.2368356255,1.5115567852,0.8552723645,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-16,2.5594891817,,22.709796493,,5.8051426316,26.17503949,5.9987214423,,5.6255690764,8.5193579235,4.2728432921,,0.9260173095,,7.7607257674,,,,13.922143085,,12.819189626,26.507219025,1.0793714153,,,,2.9877753888000003,0.8446125510000001,9.5575699092,,,1.9189348523,1.7591999999999999,7.8243851722,0.945781339,5.7234000945,6.5265088269,,,31.097784153,,,9.3661971617,,,1.1760047784,3.4895,,5.941,1.0396693968,,,2.9125572797,5.4672364284,,,5.3159295518,5.7562391588,1.4712486041,0.8739940663,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-17,2.5631588683,,19.66207969,,5.8410210466,26.437828016,6.0317986265,,5.6486067347999995,8.3345023157,4.335631871,,0.9214585062,,7.7926823797,,,,13.896580969,,12.868613423,26.388165717,1.0539539944,,,,3.0030635472,0.8468594042,9.5123590764,,,1.9625607548000001,1.7610000000000001,7.8465037216999995,0.9060180274,5.8008675425,6.5235057063,,,30.475283214,,,9.4934724282,,,1.172453601,3.4779,,6.0568,1.0290858367,,,2.9946755337,5.5272988061,,,5.3568659363,5.5226030252000005,1.4327582432,0.8779534178,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-18,2.5636273386,,22.486636643,,5.8625782455,26.712430398,6.0762787348,,5.7515461314,8.2092559453,4.3611612932,,0.9005708976000001,,7.9206873572,,,,14.178610046,,12.975296495,26.909023939,1.0528677798,,,,3.0108589941,0.8512850243000001,9.6841602376,,,1.95704136,1.7692999999999999,7.8215600617,0.8912999102,5.8827116825,6.5640023309,,,30.110206161,,,9.6162916686,,,1.1910972837,3.4175,,6.3949,1.0103165546,,,3.0307939358,5.3705125996,,,5.3945354107,5.5384255119,1.4453249114,0.898825231,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-19,2.5664381624,,25.646093457,,5.8900146805,26.70843043,6.0996938993,,5.7798564934000005,8.0932374697,4.3662211787,,0.9051297011,,8.1788396549,,,,14.486577151,,13.214063373,27.397142502,1.0814895337000001,,,,3.035077859,0.8709620114000001,9.4822185208,,,1.9483464226,1.7638,7.8160476505,0.8971546309,5.9202887094,6.5484407067,,,28.434853759,,,9.6692998216,,,1.1828650083,3.45,,6.4505,1.0420672345,,,3.0702345493,5.2675485235,,,5.4244043036,5.7952864651,1.451726799,0.9142693239,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-20,2.3785814475000002,,22.970096289,,5.5893445175,26.087598352,5.7529927819,,5.5568616934,7.419973107,4.1233466755,,0.8423011010000001,,7.8419562622,,,,13.91782008,,12.749186931,26.355426057,1.0523246725,,,,2.7983384559,0.8439997726,9.144644307,,,1.8125541850000002,1.6636000000000002,7.6147757413,0.8222629953,5.7422198701,6.1644053001,,,26.444493512,,,9.5781369395,,,1.097717452,3.1757,,6.1219,0.9500398734000001,,,2.8588056012000003,5.1575641693,,,5.0210409058,5.2605604388,1.3993261636,0.8880484531,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-23,2.4012241936,,24.716954455,,5.433620136,25.912530032,5.7112110756,,5.4976451769,7.1473780627,4.1947217268,,0.8664213156,,7.8025014505,,,,13.490312493,,12.680648008,25.498539873,1.0093648864,,,,2.8057554833,0.8233014886000001,8.8130982057,,,1.7606869936,1.6919,7.4438220936,0.8016088418,5.5335141872,6.0262617581,,,25.829682084,,,9.6015310794,,,1.0849654958,3.0736,,6.2621,0.9142376746,,,3.0565197789,4.9843973145,,,4.9180332283,5.073744061,1.455046296,0.8749380177,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-24,2.29214862,,24.903294531,,5.2271684998,25.633927683,5.7617843493,,5.3981127578,6.7904668335,3.9500839304,,0.8971725169,,7.4729377287,,,,13.503187528,,12.403564773,25.411630958,0.9860655839,,,,2.6892778805,0.7550788544,8.4725099384,,,1.6609598438000002,1.6238000000000001,7.206719513,0.763390526,5.1374860875,5.8707365188,,,23.416573446,,,9.9384252769,,,1.0258061034,2.9873000000000003,,6.5446,0.8636350285000001,,,3.0307939358,4.7878295327,,,4.7052840379,4.7198200169,1.4889525895,0.8667308851000001,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-25,2.3131517189,,24.716954455,,5.3370649895,25.279884098,5.8618863541,,5.383186951,6.8936853228,4.0180857247,,0.9265975209,,7.4089352399,,,,14.135849889,,12.752286681,25.715514527,0.9866086912,,,,2.6921538706,0.7400317464,8.4393553278,,,1.6542307183,1.6636000000000002,7.352729501,0.7597313256,5.1350476448,5.8832950227000005,,,23.720047023,,,9.9765800057,,,1.0212864228,3.0341,,6.6859,0.8196471074,,,2.9697163549,4.7246470317,,,4.7200184695,4.8789701753,1.4941689422,0.8550101558000001,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-26,2.5601138091999998,,25.423253779,,5.6626842188,26.481455562,5.910979859,,5.5156534875,7.5389683229,4.1913484698,,1.010396617,,7.8222288563,,,,14.593524531,,13.031005896,26.10630701,1.015230445,,,,2.9792231021,0.8446125510000001,8.8613230952,,,1.763786928,1.7528000000000001,7.5457327929,0.8501542341,5.5406419426,6.145658548,,,24.692245992,,,10.277640321,,,1.1634142394,3.197,,6.861,0.9826173939,,,3.3362670254,4.7652086375,,,4.8782302616,5.2215131325,1.6082173837,0.8651051911000001,,,,,,,,,,,,,,,,,,,,,,,,,
